actual_dispatch_seconds,budget_overshoot_seconds,budget_seconds,cold_start_to_paths_seconds,completion_0.5s,completion_1.0s,completion_2.0s,controller,delivered_within_budget,dispatch_seconds,environment_construct_seconds,execution_authorized,family,final_makespan,final_soc,final_waits,first_makespan_steps,first_soc_steps,first_wait_steps,flow_completed,found_within_budget,initial_conflicts,initial_fingerprint,job_id,makespan,makespan_change,map_id,observed_first_feasible_seconds,protocol,repair_iteration_cap,repair_iterations,schedule_index,soc,soc_change,solver_seed,stage2_seed,startup_before_reset_seconds,status,success,task_id,timed_workers,ttf_seconds,waits,within_pair_position
4.7393755209999995,0.0,120.0,8.254586073000013,78.239375521,151.739375521,298.739375521,official_adaptive,True,4.7393755209999995,0.018118866000008893,False,maze,147,14720,4254,147,14720,4254,True,True,197,9b54d6e95f74ac6f412f01d4f76627fbf12d2048f7d2eb372458b8e93eb58e0c,d61029b133f98cc1bc6ee215,147,0,maze-32-32-4,4.223615018999993,first_feasible,,108,0,14720,0,51,1095578626,3.5152105520000134,completed,True,maze-32-32-4__random_04__agents_0200,1,4.223615018999993,4254,0
3.6657352070000115,0.0,120.0,7.418376179000006,80.66573520700001,157.665735207,311.665735207,v2-full,True,3.6657352070000115,0.016991460000014058,False,maze,154,15300,4844,154,15300,4844,True,True,197,9b54d6e95f74ac6f412f01d4f76627fbf12d2048f7d2eb372458b8e93eb58e0c,fec68e59043a13c0f57645b0,154,0,maze-32-32-4,3.316926531000007,first_feasible,,39,1,15300,0,51,1095578626,3.7526409719999947,completed,True,maze-32-32-4__random_04__agents_0200,1,3.316926531000007,4844,1
4.86772517899999,0.0,120.0,7.9908929739999905,79.36772517899999,153.867725179,302.867725179,dual16,True,4.86772517899999,0.012608147000008785,False,maze,149,14993,4381,149,14993,4381,True,True,197,9b54d6e95f74ac6f412f01d4f76627fbf12d2048f7d2eb372458b8e93eb58e0c,3430554ce36490596609a847,149,0,maze-32-32-4,4.396279353000011,first_feasible,,64,2,14993,0,51,1095578626,3.1231677950000005,completed,True,maze-32-32-4__random_04__agents_0200,1,4.396279353000011,4381,2
3.9959467060000122,0.0,120.0,7.0685838570000215,107.49594670600001,210.995946706,417.99594670600004,official_adaptive,True,3.9959467060000122,0.013208922999979222,False,maze,207,21280,10380,207,21280,10380,True,True,161,f15238a90cd1e9133657313d5313ae6b14370255f4573f126707a66a3114a055,16c4ca2064331825416d14bc,207,0,maze-32-32-4,3.571673857999997,first_feasible,,46,3,21280,0,52,1382332772,3.0726371510000092,completed,True,maze-32-32-4__random_04__agents_0200,1,3.571673857999997,10380,0
7.8550766580000015,0.0,120.0,11.060133855000004,108.355076658,208.855076658,409.85507665800003,dual16,True,7.8550766580000015,0.01218691300002206,False,maze,201,21683,10403,201,21683,10403,True,True,161,f15238a90cd1e9133657313d5313ae6b14370255f4573f126707a66a3114a055,bde7e2c14baec2a93fe5b4c1,201,0,maze-32-32-4,7.397588232000004,first_feasible,,45,4,21683,0,52,1382332772,3.205057197000002,completed,True,maze-32-32-4__random_04__agents_0200,1,7.397588232000004,10403,1
3.783917994999996,0.0,120.0,7.237257253999985,117.283917995,230.783917995,457.783917995,v2-full,True,3.783917994999996,0.012987698000017645,False,maze,227,22128,10936,227,22128,10936,True,True,161,f15238a90cd1e9133657313d5313ae6b14370255f4573f126707a66a3114a055,ee458ec5ccaae698023adfca,227,0,maze-32-32-4,3.3714037700000006,first_feasible,,28,5,22128,0,52,1382332772,3.453339258999989,completed,True,maze-32-32-4__random_04__agents_0200,1,3.3714037700000006,10936,2
3.6002053219999937,0.0,120.0,6.65705281999999,87.600205322,171.600205322,339.60020532199997,v2-full,True,3.6002053219999937,0.014808972999986736,False,maze,168,16882,5601,168,16882,5601,True,True,156,7b3cb215b7d7ef0a717b918f2337a56919bf158edc475ae4871bdc22b4fdc3fa,e78e5b9e987cd42358cffe5d,168,0,maze-32-32-4,3.2388659789999963,first_feasible,,38,6,16882,0,51,1979736585,3.056847497999996,completed,True,maze-32-32-4__random_05__agents_0200,1,3.2388659789999963,5601,0
3.0016233810000017,0.0,120.0,5.939823015000002,91.501623381,180.001623381,357.001623381,official_adaptive,True,3.0016233810000017,0.011457527000004575,False,maze,177,17035,5612,177,17035,5612,True,True,156,7b3cb215b7d7ef0a717b918f2337a56919bf158edc475ae4871bdc22b4fdc3fa,d179514ebdcce6cae31d2061,177,0,maze-32-32-4,2.574997508000024,first_feasible,,63,7,17035,0,51,1979736585,2.938199634,completed,True,maze-32-32-4__random_05__agents_0200,1,2.574997508000024,5612,1
2.624388771000042,0.0,120.0,5.707479758000034,89.62438877100004,176.62438877100004,350.62438877100004,dual16,True,2.624388771000042,0.015759922999961873,False,maze,174,16652,5445,174,16652,5445,True,True,156,7b3cb215b7d7ef0a717b918f2337a56919bf158edc475ae4871bdc22b4fdc3fa,2d544e9784d5882d49f12e81,174,0,maze-32-32-4,2.3020265300000347,first_feasible,,23,8,16652,0,51,1979736585,3.0830909869999914,completed,True,maze-32-32-4__random_05__agents_0200,1,2.3020265300000347,5445,2
3.503738580000004,0.0,120.0,6.582977226000025,69.00373858,134.50373858,265.50373858,v2-full,True,3.503738580000004,0.012169571000015367,False,maze,131,16011,4308,131,16011,4308,True,True,127,3e77db6b8f21bde82ceb5e234f130e765568b84e2fcbd1208567d4f70efd78da,6b873735b183297806f38513,131,0,maze-32-32-4,3.1275853159999656,first_feasible,,43,9,16011,0,52,12629350,3.0792386460000216,completed,True,maze-32-32-4__random_05__agents_0200,1,3.1275853159999656,4308,0
